Designator,Mid X,Mid Y,Rotation,Layer
C1,64.135,-61.419,270.0,top
C2,59.309,-59.833,270.0,top
D1,64.389,-87.63,270.0,top
D2,66.979,-87.63,270.0,top
D3,69.569,-87.63,270.0,top
D4,61.722,-87.681,270.0,top
D5,72.109,-87.63,270.0,top
GND1,60.96,-96.52,270.0,bottom
INPUT1,50.8,-50.8,0.0,top
MODE_TOGGLE1,54.737,-86.8935,0.0,top
OUTPUT1,73.66,-50.8,0.0,top
R1,67.689,-58.293,180.0,top
R10,48.641,-62.728,270.0,top
R11,60.325,-62.851,270.0,top
R2,64.389,-84.7325,90.0,top
R3,62.74,-53.975,0.0,top
R4,67.054,-84.7325,90.0,top
R5,69.596,-84.7325,90.0,top
R6,61.72,-84.7325,90.0,top
R9,72.136,-84.7325,90.0,top
RV1,55.372,-73.878,0.0,top
RV2,69.342,-73.878,0.0,top
U1,68.624,-61.512,0.0,top
U2,54.421,-61.468,270.0,top
V_SUPPLY1,60.96,-50.8,270.0,bottom
