Designator,Footprint,Quantity,Value,LCSC Part #
"5V1, GND1",PinHeader_1x05_P2.54mm_Vertical,2,Conn_01x05_Pin,
C1,0402,1,1nf,
"C10, C11, C2, C3",0402,4,0.1uf,
"C4, C5, C6",0402,3,10nf,
"C7, C8",0402,2,1uf,
C9,0805,1,22uf,
INPUT1,PinSocket_1x05_P2.54mm_Vertical,1,Cap Connect,
INPUT2,PinSocket_1x05_P2.54mm_Vertical,1,Caps,
OUTPUT2,PinSocket_1x05_P2.54mm_Vertical,1,Output Waves,
"R1, R13, R2, R6, R9",0402,5,1k,
"R10, R11, R3, R4, R7, R8",0402,6,100k,
"R12, R5",0402,2,10k,
RV1,Potentiometer_RV09,1,50k,
RV2,Potentiometer_RV09,1,1M,
"U1, U2",SOIC-8-1EP_3.9x4.9mm_P1.27mm_EP2.29x3mm,2,MCP6002-xSN,
